Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
chou,1,chou1,Yes,抽,to draw out  / to pull out from in between  / to remove part of the whole  / (of certain plants) to sprout or bud  / to whip or thrash; pluck (stringed instrument); to convalesce  / to recover  / to heal
chou,2,chou2,Yes,愁,"to worry about; chip (in gambling); token (for counting); ticket  / to prepare; to plan; to raise (funds)  / resource; way; means; hatred  / animosity  / enmity  / foe  / enemy  / to feel animosity toward (the wealthy, foreigners etc)"
chou,3,chou3,Yes,丑,"clown  / 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox  / ancient Chinese compass point: 30°; shameful  / ugly  / disgraceful; (dialect) to look at"
chou,4,chou4,Yes,臭,stench  / smelly  / to smell (bad)  / repulsive  / loathsome  / terrible  / bad  / severely  / ruthlessly  / dud (ammunition); variant of 臭
chu,1,chu1,Yes,出,"to go out; to come out  / to arise; to occur  / to produce; to yield  / to go beyond; to exceed  / (used after a verb to indicate an outward direction or a positive result)  / classifier for dramas, plays, operas etc; variant of 出 (classifier for plays or chapters of classical novels); at first  / (at the) beginning  / first  / junior  / basic"
chu,2,chu2,Yes,除,to get rid of  / to remove  / to exclude  / to eliminate  / to wipe out  / to divide  / except  / not including; (bound form) chick; young bird; kitchen
chu,3,chu3,Yes,处,to reside  / to live  / to dwell  / to be in  / to be situated at  / to stay  / to get along with  / to be in a position of  / to deal with  / to discipline  / to punish; surname Chu  / Taiwan pr. [Chu2]; (bound form) to store up; to keep in reserve  / heir to the throne  / Taiwan pr. [chu2]
chu,4,chu4,Yes,处,"(bound form) place; locality  / (bound form) part; aspect  / (bound form) office; department; bureau  / classifier for locations: spot, point; to touch  / to make contact with sth  / to stir up sb&#039;s emotions; livestock  / domesticated animal  / domestic animal"
chuai,1,chuai1,Yes,揣,"to put into (one&#039;s pockets, clothes)  / Taiwan pr. [chuai3]; to knead  / to rub  / to clear a drain with a pump  / to conceal sth in one&#039;s bosom  / to carry sth under one&#039;s coat"
chuai,2,chuai2,Yes,膗,(dialect) grossly overweight; obese
chuai,3,chuai3,Yes,揣,to estimate  / to guess  / to figure  / to surmise
chuai,4,chuai4,Yes,踹,to kick  / to trample  / to tread on; used in 囊揣  / used in 掙揣｜挣揣; (literary) to gnaw  / to eat ravenously
chuan,1,chuan1,Yes,穿,to wear  / to put on  / to dress  / to bore through  / to pierce  / to perforate  / to penetrate  / to pass through  / to thread; (chemistry) tritium; abbr. for Sichuan Province 四川 in southwest China
chuan,2,chuan2,Yes,船,"boat  / vessel  / ship  / CL: 條｜条, 艘, 隻｜只; variant of 船; to pass on  / to spread  / to transmit  / to infect  / to transfer  / to circulate  / to conduct (electricity)"
